tradeDate,标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
2026-02-26,510050,50ETF,1986428192,49119185,34415625,27445920,807500,2623300
2026-02-26,510100,SZ50ETF,22422599,8772628,7052280,0,0,0
2026-02-26,510150,消费ETF,49301273,3884157,2555867,0,0,0
2026-02-26,510180,180ETF,75454060,962643,470445,553800,0,129300
2026-02-26,510210,综指ETF,80441973,25634332,30461286,0,0,0
2026-02-26,510230,金融ETF,14024868,1538688,1311637,0,0,0
2026-02-26,510300,300ETF,3205374836,76634097,173942719,65580279,6176900,5873800
2026-02-26,510310,HS300ETF,195599290,9840254,9169139,470122,40600,576800
2026-02-26,510330,华夏300,63691308,2171081,3549290,1627700,42200,158200
2026-02-26,510350,工银300,1613627,740852,495994,0,0,0
2026-02-26,510360,广发300,3050957,965486,1497956,0,0,0
2026-02-26,510410,资源ETF,13228812,2564183,5063289,0,0,0
2026-02-26,510500,500ETF,1081229301,98234899,235035098,246771625,6768708,12770249
2026-02-26,510510,广发500,10702448,3055074,4062613,231400,8000,0
2026-02-26,510580,ZZ500ETF,10559301,4244356,1143943,0,0,0
2026-02-26,510710,上50ETF,699509,873,1311,0,0,0
2026-02-26,510720,红利国泰,41134138,16175339,5379277,0,0,0
2026-02-26,510760,上证ETF,23757415,5120921,7302036,0,0,0
2026-02-26,510810,上海国企,258293,377,94,0,0,0
2026-02-26,510880,红利ETF,124759688,12742803,22594220,127700,6000,199500
2026-02-26,510900,恒生中国,2299805875,19672386,17545275,0,0,0
2026-02-26,511010,国债ETF,70319452,590731,576681,0,0,0
2026-02-26,511030,公司债,5727438,502971,545868,0,0,0
2026-02-26,511090,30年国债,460061925,132789365,139466487,0,0,0
2026-02-26,511130,国债30年,150944662,84817364,88487133,0,0,0
2026-02-26,511180,上证转债,18630664,40066242,40257666,0,0,0
2026-02-26,511220,城投ETF,304220041,34217719,19450909,0,0,0
2026-02-26,511260,十年国债,432016457,34971909,28520692,0,0,0
2026-02-26,511360,短融ETF,3666148826,3504204609,2895616492,0,0,0
2026-02-26,511380,转债ETF,1392639503,767817599,815110840,15039000,1660000,0
2026-02-26,511520,政金债,3038565263,506939614,234972082,0,0,0
2026-02-26,512000,券商ETF,2291525142,226103375,172998358,40255500,130300,0
2026-02-26,512010,医药ETF,641965564,154374070,137556918,26658400,0,1927900
2026-02-26,512020,A500,2213715,844289,124341,0,0,0
2026-02-26,512040,国信价值,15947307,3322142,5165917,0,0,0
2026-02-26,512050,A500E,71363491,5448750,6530937,2409700,49600,103200
2026-02-26,512070,证券保险,334966229,24878827,19825437,5001000,0,0
2026-02-26,512090,MSCI易基,693168,946174,281090,0,0,0
2026-02-26,512100,1000ETF,352594309,44677059,116753324,845550799,41335800,1060700
2026-02-26,512170,医疗ETF,1089208854,247893841,177943360,367700,215900,333500
2026-02-26,512200,地产ETF,132185413,20576593,19628541,778522,0,3300
2026-02-26,512220,TMTETF,4006828,1904640,863660,0,0,0
2026-02-26,512290,生物医药,156606878,11144630,6692687,100000,0,0
2026-02-26,512330,信息ETF,942515,79575,531138,0,0,0
2026-02-26,512400,有色ETF,719077055,83705206,91069743,5409600,113100,486000
2026-02-26,512480,半导体,590367096,146504078,158363696,24036393,532000,810700
2026-02-26,512500,中证500,87239332,5981137,5353594,32832300,1835500,176200
2026-02-26,512510,ETF500,8565465,974144,695888,0,0,0
2026-02-26,512560,中证军工,13280035,2266266,4083107,0,0,0
2026-02-26,512570,中证证券,31816481,2051144,2845937,0,0,0
2026-02-26,512580,环保ETF,2873978,332706,528530,0,0,0
2026-02-26,512600,必选消费,13920024,698704,1001411,0,0,0
2026-02-26,512630,卫星基金,48986861,9162201,15532730,0,0,0
2026-02-26,512660,军工ETF,280394957,49628034,49413250,21246400,0,0
2026-02-26,512670,国防ETF,53694379,10605311,6354235,737800,0,1300
2026-02-26,512680,军工基金,31776826,3922359,1198962,0,0,0
2026-02-26,512690,酒ETF,867484598,102054372,98177359,22315700,22000,732100
2026-02-26,512700,银行基金,9308915,891125,748680,0,0,0
2026-02-26,512710,军工龙头,205444646,40089123,44265875,0,0,0
2026-02-26,512720,计算机,9652797,1602681,4760964,2094000,0,0
2026-02-26,512760,芯片ETF,161779729,16227267,16618716,29573573,154500,97900
2026-02-26,512800,银行ETF,551560437,82225101,104752385,19898600,4700,213700
2026-02-26,512810,国防军工,13784604,1448468,1933481,0,0,0
2026-02-26,512820,银行股基,23312663,1602464,2327059,0,0,0
2026-02-26,512880,证券ETF,3992349113,400675355,297680515,12279600,600000,409100
2026-02-26,512890,红利低波,428626044,113196366,133094967,277800,0,0
2026-02-26,512900,证券基金,56416351,7311977,1659630,0,0,0
2026-02-26,512930,AIETF,112482431,7831515,9886884,0,0,0
2026-02-26,512950,央企改革,898682,48793,22947,0,0,0
2026-02-26,512980,传媒ETF,247390746,23780232,62967764,5866600,0,0
