tradeDate,证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股/份),融券余量(股/份),融券余额(元),融资融券余额(元)
20260224,000001,平安银行,187783472,5418835008,500,2267400,24737334,5443572342
20260224,000002,万  科Ａ,131405395,3192665509,179800,2038300,10028436,3202693945
20260224,000006,深振业Ａ,43219371,881922730,800,97700,905679,882828409
20260224,000008,神州高铁,13700223,302156323,3000,13200,39996,302196319
20260224,000009,中国宝安,14099084,2062424297,2600,189370,1806589,2064230886
20260224,000012,南  玻Ａ,12547146,932193248,500,210800,992868,933186116
20260224,000016,深康佳Ａ,4556741,467198873,0,207100,807690,468006563
20260224,000021,深科技,935679236,2499522605,514400,655400,22132858,2521655463
20260224,000025,特  力Ａ,9182609,265509798,0,4500,83520,265593318
20260224,000027,深圳能源,15971602,566973193,1800,136140,917583,567890776
20260224,000028,国药一致,6171457,240654196,800,6490,168091,240822287
20260224,000029,深深房Ａ,15520416,478697349,600,64400,1483776,480181125
20260224,000030,富奥股份,11964117,120427472,0,279600,1557372,121984844
20260224,000031,大悦城,9050619,247304993,0,61200,214812,247519805
20260224,000032,深桑达Ａ,68105451,771243698,1900,66500,1323350,772567048
20260224,000034,神州数码,66099836,1856939042,200,87900,3296250,1860235292
20260224,000035,中国天楹,34496999,550914882,11400,53499,331159,551246041
20260224,000036,华联控股,25936502,472376449,0,2600,14352,472390801
20260224,000039,中集集团,75948884,681214783,156500,1096749,13226792,694441575
20260224,000042,中洲控股,7942383,140827781,0,0,0,140827781
20260224,000048,京基智农,11856994,229289865,300,16900,298285,229588150
20260224,000049,德赛电池,19434067,343529952,0,39600,1055736,344585688
20260224,000050,深天马Ａ,17765250,564480088,22100,209200,2045976,566526064
20260224,000055,方大集团,7402369,158549556,31200,69100,275709,158825265
20260224,000056,皇庭国际,1208319,52635681,0,0,0,52635681
20260224,000058,深 赛 格,6995937,201659067,0,7400,67340,201726407
20260224,000059,华锦股份,16512092,247145454,3000,30800,186956,247332410
20260224,000060,中金岭南,147042413,1851284775,66600,442500,3252375,1854537150
20260224,000061,农 产 品,12245711,690135246,34300,168000,1538880,691674126
20260224,000062,深圳华强,27058829,523923691,0,42900,1061775,524985466
20260224,000063,中兴通讯,370802896,10004939913,20700,568128,21458195,10026398108
20260224,000065,北方国际,56101942,637432298,0,16700,202571,637634869
20260224,000066,中国长城,172555680,2024603223,54200,280700,4609094,2029212317
20260224,000069,华侨城Ａ,14407365,554477202,35100,509773,1335605,555812807
20260224,000078,海王生物,19130598,186093168,0,182500,640575,186733743
20260224,000088,盐 田 港,21580219,228221233,5900,49500,225720,228446953
20260224,000089,深圳机场,7193163,619385028,6800,86300,625675,620010703
20260224,000090,天健集团,12102435,369909947,4800,270500,1079295,370989242
20260224,000099,中信海直,29022791,676641427,3900,126658,2555958,679197385
20260224,000100,TCL科技,238393817,3252152769,381900,778490,3736752,3255889521
20260224,000151,中成股份,8687364,214955344,0,118400,1649312,216604656
20260224,000155,川能动力,57976202,751074418,24100,106200,1408212,752482630
20260224,000156,华数传媒,65662528,471920858,1500,171700,1480054,473400912
20260224,000157,中联重科,84395048,1686280723,87000,3236300,32265911,1718546634
20260224,000158,常山北明,32641365,1086432868,0,151400,3050710,1089483578
20260224,000159,国际实业,19282623,175362040,34200,40000,281200,175643240
20260224,000166,申万宏源,61641877,3532067185,10900,123700,619737,3532686922
20260224,000301,东方盛虹,22536909,1534276312,12900,156400,2050404,1536326716
20260224,000333,美的集团,108556265,4609241583,15800,683400,54343968,4663585551
20260224,000338,潍柴动力,380392351,2024890756,150200,1119000,32562900,2057453656
20260224,000400,许继电气,151448056,1272976120,1600,93597,2950177,1275926297
20260224,000401,金隅冀东,3404495,285115286,0,16900,86021,285201307
